cornmeal;11 mg;0 ug;3.79 mg;0 ug;3.24 mg;0 ug;0.137 mg;2.8 mg;0 ug;0 ug
green beans;37 mg;0 ug;1.03 mg;0.6 ug;0.24 mg;35 ug;0.104 mg;0.734 mg;0 ug;0 ug
clam;39 mg;0 ug;1.62 mg;30.6 ug;0.51 mg;90 ug;0.04 mg;0.35 mg;11.28 ug;0 ug
peanutbutter;49 mg;0 ug;1.74 mg;4.1 ug;2.51 mg;0 ug;0.192 mg;13.112 mg;0 ug ;0 ug
ground turkey;28 mg;0 ug;1.51 mg;30.8 ug;3.08 mg;24 ug;0.209 mg;8.651 mg;1.33 ug;0.2 ug
cream milk;113 mg;0 ug;0.03 mg;3.7 ug;0.37 mg;46 ug;0.169 mg;0.089 mg;0.45 ug;1.3 ug
salted butter;24 mg;0 ug;0.02 mg;1 ug;0.09 mg;684 ug;0.034 mg;0.042 mg;0.17 ug;0 ug
olive oil;1 mg;0 ug;0.56 mg;0 ug;0 mg;0 ug;0 mg;0 mg;0 ug;0 ug
mustard;63 mg;0 ug;1.61 mg;33.5 ug;0.64 mg;5 ug;0.07 mg;0.565 mg;0 ug;0 ug
cantarel;15 mg;0 ug;3.47 mg;2.2 ug;0.71 mg;0 ug;0.215 mg;4.085 mg;0 ug;5.3 ug
porto bello;3 mg;0 ug;0.4 mg;21.9 ug;0.65 mg;0 ug;0.403 mg;6.255 mg;0 ug;0.3 ug
shiitake;2 mg;0 ug;0.41 mg;5.7 ug;1.03 mg;0 ug;0.217 mg;3.877 mg;0 ug;0.4 ug
truffle;167  mg;0 ug;1.96 mg;4.2 ug;1.94 mg;126 ug;0.275 mg;0.33 mg;0.65 ug;0.2 ug
champignon;3 mg;0 ug;0.5 mg;9.3 ug;0.52 mg;0 ug;0.402 mg;3.607 mg;0.04 ug;0.2 ug
