ingredients\nutrients pr 100 g;Calcium;Iron;Zinc;Selenium;Vitamin B2(riboflavin);Vitamin B3(niacin);Vitamin B12;Vitamin A;Vitamin D;Iodine
Beets;16 mg;0.8 mg;0.35 mg;0.7  ug;0.04 mg;0.334 mg;0 ug;2 ug;0 ug;0 ug
Seaweed;372 mg;24.95 mg;3.9  mg;7.3 ug;1.946 mg;6.511 mg;0.1 ug;68 ug;0 ug;0 ug
Salmon;7 mg;0.38 mg;0.39 mg;31.4 mg;0.105 mg;7.995 mg ;4.15 ug;35 ug;10.9 ug;0 ug
Wasabi;41 mg;0.5 mg;0.61 mg;2.2 ug;0.07 mg;0.16 mg;0 ug;0 ug;0 ug;0 ug
Tuna;4 mg;0.77 mg;0.37 mg;90.6 ug;0.115 mg ;18.475 mg;2.08 ug;18 ug;1.7 ug;0 ug
Horseraddish;56 mg;0.42 mg;0.83 mg;2.8 ug;0.024 mg;0.386 mg;0 ug;0 ug;0 ug;0 ug
Pintobeans;43 mg;1.97 mg;0.5 mg;0.6 ug;0.175 mg;2.28 mg;0 ug;2  ug;0 ug;0 ug
Cornmeal;11 mg;3.79 mg;3.24 mg;0 ug;0.137 mg;2.8 mg;0 ug;0 ug;0 ug;0 ug
Green beans;37 mg;1.03 mg;0.24 mg;0.6 ug;0.104 mg;0.734 mg;0 ug;35 ug;0 ug;0 ug
Clams;39 mg;1.62 mg;0.51 mg;30.6 ug;0.04 mg;0.35 mg;11.28 ug;90 ug;0 ug;0 ug
Peanutbutter;49 mg;1.74 mg;2.51 mg;4.1 ug;0.192 mg;13.112 mg;0 ug ;0 ug;0 ug;0 ug
Ground turkey;28 mg;1.51 mg;3.08 mg;30.8 ug;0.209 mg;8.651 mg;1.33 ug;24 ug;0.2 ug;0 ug
Cream milk;113 mg;0.03 mg;0.37 mg;3.7 ug;0.169 mg;0.089 mg;0.45 ug;46 ug;1.3 ug;0 ug
Salted butter;24 mg;0.02 mg;0.09 mg;1 ug;0.034 mg;0.042 mg;0.17 ug;684 ug;0 ug;0 ug
Olive oil;1 mg;0.56 mg;0 mg;0 ug;0 mg;0 mg;0 ug;0 ug;0 ug;0 ug
Mustard;63 mg;1.61 mg;0.64 mg;33.5 ug;0.07 mg;0.565 mg;0 ug;5 ug;0 ug;0 ug
Cantarel;15 mg;3.47 mg;0.71 mg;2.2 ug;0.215 mg;4.085 mg;0 ug;0 ug;5.3 ug;0 ug
Porto bello Grilled;3 mg;0.4 mg;0.65 mg;21.9 ug;0.403 mg;6.255 mg;0 ug;0 ug;0.3 ug;0 ug
Shiitake;2 mg;0.41 mg;1.03 mg;5.7 ug;0.217 mg;3.877 mg;0 ug;0 ug;0.4 ug;0 ug
Truffle;167  mg;1.96 mg;1.94 mg;4.2 ug;0.275 mg;0.33 mg;0.65 ug;126 ug;0.2 ug;0 ug
Champignon (Field mushroom);3 mg;0.5 mg;0.52 mg;9.3 ug;0.402 mg;3.607 mg;0.04 ug;0 ug;0.2 ug;0 ug
